AÑO,MES,CLIENTE,CODIGO,NOMBRE DE ARTICULO,UNIDAD / MEDIDA,CANTIDAD,VALOR UNITARIO,TOTAL DESCUENTO,VALOR TOTAL,# FACT.,CC,CAT1,CAT2,CAT3,CATEGORIA,DEPARTAMENTO,MUNICIPIOS,fecha_periodo,rango_ticket,mes_num
2025,Abril,4117002,10202,INICIACION CERDOS                  ,BULTO          ,7,122000.0,0,854000,2,4117002,102,102,102,PORCICULTURA                            ,Boyaca,Firavitoba,2025-Abril,$500K-$1M,4
2025,Abril,4117002,10204,MAXI LECHONES                      ,BULTO          ,16,98000.0,0,1568000,2,4117002,102,102,102,PORCICULTURA                            ,Boyaca,Firavitoba,2025-Abril,>$1M,4
2025,Abril,4117002,10211,MAXI CERDAS GESTACION   R          ,BULTO          ,8,86000.0,0,688000,1,4117002,102,102,102,PORCICULTURA                            ,Boyaca,Firavitoba,2025-Abril,$500K-$1M,4
2025,Abril,4117002,10212,MAXI CERDAS GESTACION              ,BULTO          ,6,86000.0,0,516000,1,4117002,102,102,102,PORCICULTURA                            ,Boyaca,Firavitoba,2025-Abril,$500K-$1M,4
2025,Abril,4117002,10213,CERDAS LACTANCIA PRIMERIZAS        ,BULTO          ,8,100000.0,0,800000,2,4117002,102,102,102,PORCICULTURA                            ,Boyaca,Firavitoba,2025-Abril,$500K-$1M,4
2025,Abril,4211190,10831,FILPO ADULTO 10KG                  ,BULTO          ,1,40000.0,0,40000,1,4211190,108,108,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,<$50K,4
2025,Abril,4211190,20203,SUPER HUEVO PREPICO 100            ,BULTO          ,2,87000.0,0,174000,2,4211190,202,202,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,$100K-$250K,4
2025,Abril,4211190,20505,ITAL LECHE PELLET                  ,BULTO          ,1,60000.0,0,60000,1,4211190,205,205,205,GANADERIA                               ,Boyaca,Sogamoso,2025-Abril,$50K-$100K,4
2025,Abril,4272458,10501,NOVILLONAS                         ,BULTO          ,1,70000.0,0,70000,1,4272458,105,105,105,GANADERIA                               ,Boyaca,Sogamoso,2025-Abril,$50K-$100K,4
2025,Abril,4272458,50117,FIBRAMIX PELETIZADO                ,BULTO          ,1,62000.0,0,62000,1,4272458,501,501,105,GANADERIA                               ,Boyaca,Sogamoso,2025-Abril,$50K-$100K,4
